,x11,x12,x13,x21,x22,x23,x31,x32,x33,y11,y12,y13,y21,y22,y23,y31,y32,y33,b1,b2
0870,-0.8412112,-0.0013848618,0.8401881,-1.8322054,-0.007531224,1.8160203,-0.83981645,0.0027563605,0.8440746,-0.88494706,-1.8816252,-0.8871582,-0.0013888598,-0.0030267197,-0.002738151,0.88522756,1.8773484,0.8818622,-0.0031200985,0.00062120426
0880,-0.8398714,-0.0008778729,0.83989847,-1.8307436,-0.007015601,1.8155675,-0.83843046,0.0033121645,0.84379476,-0.88489795,-1.8814741,-0.8869721,-0.0020346465,-0.0036177624,-0.0031933007,0.8838862,1.8760004,0.88068396,-0.003398558,-0.00041286738
0890,-0.83923244,-0.0011483756,0.8387358,-1.8299959,-0.007324215,1.8142017,-0.8377731,0.003065215,0.84262395,-0.8849282,-1.8812156,-0.8864314,-0.002610879,-0.0039563,-0.0031894979,0.8827045,1.8749979,0.8800522,-0.0033162574,-0.0013152277
0900,-0.8380167,-0.000887862,0.8380636,-1.828753,-0.0071535446,1.8132935,-0.8366118,0.0033374603,0.84195423,-0.88371265,-1.8797765,-0.88491565,-0.0019821604,-0.0031137215,-0.0021801516,0.88280404,1.875223,0.8804813,-0.0030007416,-0.0020034376
0910,-0.8372469,-0.0010325616,0.8370028,-1.8278043,-0.0072022495,1.8122051,-0.83563066,0.0034745326,0.84117556,-0.88357204,-1.8794662,-0.8844914,-0.0024369117,-0.0034179105,-0.0023273486,0.8817609,1.8742647,0.8797173,-0.0023027975,-0.0017286052
0920,-0.8366264,-0.0013787524,0.8356798,-1.8270221,-0.0074874987,1.8107647,-0.8349514,0.0032374419,0.83995676,-0.8832925,-1.8790362,-0.8839226,-0.0026162155,-0.0034412413,-0.0021467514,0.88120764,1.873782,0.8794651,-0.003015261,-0.00097634364
0930,-0.8360201,-0.0016109522,0.83458304,-1.826332,-0.0077586,1.8095312,-0.8343012,0.0030693763,0.83893454,-0.8822882,-1.8778974,-0.882607,-0.0022340422,-0.0029722946,-0.0014633663,0.8809548,1.8735725,0.87951165,-0.0036486634,-0.0004175492
0940,-0.83459115,-0.0011120763,0.8341622,-1.8247821,-0.0072443886,1.8090113,-0.8327019,0.0037697155,0.8387504,-0.88239115,-1.8778809,-0.8825216,-0.002814045,-0.0034553173,-0.0018252869,0.879892,1.8725702,0.8786584,-0.0026713717,-0.0013694119
0950,-0.83395785,-0.0013406436,0.8330601,-1.8241254,-0.007531237,1.8077009,-0.83211607,0.0035530617,0.8376434,-0.8815092,-1.8767527,-0.8812507,-0.0024874546,-0.0029077996,-0.0010731235,0.87968993,1.8725361,0.87888175,-0.0023544703,0.00054243027
0960,-0.8327295,-0.000971513,0.83258677,-1.8229319,-0.0072656884,1.8070104,-0.83107567,0.0037696783,0.83701426,-0.8818042,-1.8768431,-0.8812128,-0.0033191282,-0.0035624593,-0.0015366334,0.8783584,1.8713061,0.8778595,-0.0031689587,-0.0008287063
0970,-0.8322355,-0.001324046,0.8313227,-1.8221675,-0.007466397,1.8057956,-0.83023053,0.0038291242,0.83622354,-0.8817117,-1.8765608,-0.88085407,-0.0037339197,-0.0038525334,-0.0016943319,0.87742937,1.870446,0.8771506,-0.0033538842,-0.00061486365
0980,-0.8310832,-0.0009585268,0.83082944,-1.8209066,-0.007084187,1.8051946,-0.8290441,0.004268739,0.8358275,-0.8808601,-1.8756434,-0.8799183,-0.0034886603,-0.0035688586,-0.0013088009,0.8771046,1.8701203,0.87698543,-0.0024278006,-0.0011300126
0990,-0.8298904,-0.00068690843,0.83013463,-1.8197343,-0.0069620684,1.8042678,-0.82797456,0.004465177,0.8351531,-0.879381,-1.8740481,-0.8783292,-0.0024552234,-0.0024466119,-0.00016713343,0.8776841,1.8707428,0.87762904,-0.0032315496,-4.4751192e-05
1000,-0.829645,-0.0012623095,0.8287454,-1.8192663,-0.007418687,1.8029034,-0.8274408,0.004227517,0.83413154,-0.8793541,-1.8739451,-0.87819797,-0.0029145381,-0.0028476133,-0.00048757275,0.87672794,1.8698218,0.8768054,-0.0041523823,-0.00074948673
1010,-0.8285622,-0.0005652827,0.8290544,-1.8181317,-0.0067258105,1.8031524,-0.8263386,0.0049662697,0.8345127,-0.88004696,-1.8745615,-0.8787504,-0.003791249,-0.0036524318,-0.0011854988,0.875681,1.8688036,0.87591285,-0.0031366786,-0.0011814204
1020,-0.8288663,-0.0012791347,0.8279655,-1.8183296,-0.007380424,1.8020272,-0.8264858,0.004438168,0.83357686,-0.878855,-1.8732339,-0.8773354,-0.002798903,-0.0025467686,4.0381048e-05,0.87646925,1.8696759,0.87692285,-0.003667491,-0.0007591628
1030,-0.82824236,-0.0010012417,0.8278993,-1.8176839,-0.0071158605,1.8018916,-0.8259203,0.004704033,0.83352524,-0.8796194,-1.8738495,-0.87785065,-0.00383929,-0.003461945,-0.00073050393,0.87516207,1.8684604,0.87587976,-0.0036634053,-0.00050981506
1040,-0.82801366,-0.0011684942,0.8273799,-1.8174361,-0.00730426,1.8012774,-0.8257844,0.004506444,0.8329729,-0.8794967,-1.8737365,-0.8778471,-0.0039223954,-0.003555869,-0.0008839199,0.87489027,1.8681414,0.87552565,-0.004062908,-0.0010497418
1050,-0.8274776,-0.0010213642,0.8271409,-1.8168485,-0.0071527013,1.8009466,-0.8252337,0.004718493,0.83279127,-0.87899196,-1.8731914,-0.8772641,-0.0036349806,-0.0032649105,-0.00052892946,0.87496316,1.8681886,0.8756613,-0.00351854,0.0004504674
1060,-0.8270354,-0.0009125862,0.8268873,-1.8164428,-0.007137714,1.8005246,-0.8249139,0.004715205,0.83242005,-0.8787446,-1.8728834,-0.87693363,-0.0036264223,-0.003202343,-0.00041566795,0.87473303,1.8679756,0.87553275,-0.0033199089,9.839601e-05
1070,-0.8269859,-0.0012379553,0.8261745,-1.8164235,-0.0075435005,1.7996644,-0.82501405,0.0042657107,0.8315904,-0.8788483,-1.8728926,-0.87687683,-0.0039709522,-0.003475066,-0.00058145093,0.87413853,1.867423,0.87512577,-0.0034844244,-4.2409236e-05
1080,-0.82677114,-0.0013789885,0.82569385,-1.8161768,-0.0076968553,1.7991116,-0.8248266,0.0041320613,0.83112293,-0.87821424,-1.8721656,-0.87608564,-0.0035806694,-0.0030144302,-6.4998917e-06,0.87428796,1.8676066,0.8754446,-0.0031941517,0.00018938792
1090,-0.8262867,-0.0012693492,0.8254469,-1.8156945,-0.0076522143,1.7987276,-0.8244546,0.0041564275,0.83076984,-0.87788886,-1.8717124,-0.87558556,-0.0034501986,-0.0027902448,0.00027740333,0.8742451,1.8676262,0.87555087,-0.0036385322,-0.0009281735
1100,-0.8254041,-0.00073477346,0.82564974,-1.8147213,-0.0070968997,1.7988614,-0.823469,0.0047879675,0.83102226,-0.8783492,-1.8721153,-0.87595624,-0.0041051735,-0.003410821,-0.00028111698,0.8734024,1.8667866,0.87480915,-0.0028989105,-0.0007418253
1110,-0.82534343,-0.0010387866,0.8249401,-1.8146521,-0.0074342648,1.7980845,-0.82351184,0.0044145444,0.8303035,-0.87756693,-1.8712872,-0.87514365,-0.0035176289,-0.0027994679,0.0003329337,0.87379116,1.8671539,0.8751897,-0.0036030074,-5.347478e-05
1120,-0.8249176,-0.0009586627,0.8246457,-1.8141615,-0.0073467665,1.7977235,-0.82304496,0.004540814,0.8300636,-0.8781722,-1.8718102,-0.87560135,-0.0043022675,-0.003545347,-0.00031577144,0.8728399,1.8662071,0.87433,-0.0030253548,-0.0010824885
1130,-0.82443994,-0.0008648005,0.8243537,-1.8135889,-0.0071986984,1.797428,-0.8224576,0.0047854222,0.8299249,-0.87743104,-1.8708943,-0.8745414,-0.0037639684,-0.0028410712,0.00056385587,0.87316453,1.8666298,0.8749515,-0.0027507804,-0.00093944627
1140,-0.8240409,-0.00082996703,0.82405883,-1.8131263,-0.0071315863,1.7970831,-0.8220606,0.004868,0.82965463,-0.87677485,-1.8701887,-0.8738635,-0.00335087,-0.0024138635,0.0010103408,0.8733117,1.8667554,0.8751182,-0.0028747264,-0.0006177903
1150,-0.8240766,-0.0012332792,0.82325876,-1.8130525,-0.007485619,1.7962523,-0.8219931,0.004590542,0.8289736,-0.8768929,-1.8701367,-0.8737399,-0.0036517587,-0.002577841,0.00096664403,0.8728654,1.8663965,0.87490964,-0.0034216077,-0.0014137134
1160,-0.8233631,-0.0008625298,0.8232975,-1.8122888,-0.0071073985,1.7962359,-0.8213549,0.004909729,0.82896125,-0.87638783,-1.8695583,-0.87315273,-0.0033740457,-0.0022596528,0.0013314455,0.87292856,1.8664654,0.8750608,-0.0026203385,-0.0009434873
1170,-0.8230091,-0.0008669651,0.8228867,-1.8119107,-0.0071444614,1.7957557,-0.820985,0.004969071,0.82865465,-0.87714523,-1.8702137,-0.87375057,-0.0043086535,-0.0030970892,0.00059469434,0.8718522,1.8654336,0.8741502,-0.0025368654,-0.0020106223
1180,-0.82242674,-0.00065345084,0.8227075,-1.8113236,-0.0069930567,1.7954495,-0.8205097,0.0050878967,0.82839656,-0.876315,-1.8693055,-0.87282693,-0.003668146,-0.0023921863,0.0013513656,0.87234896,1.8659275,0.87471735,-0.001977508,-0.0022551783
1190,-0.8226371,-0.0012059575,0.82179844,-1.8114214,-0.0074784462,1.794542,-0.8205758,0.0047061937,0.8276363,-0.87640876,-1.8692693,-0.8727074,-0.003949079,-0.002560996,0.0013000378,0.8718733,1.8655143,0.8744499,-0.0031469802,-0.0022367986
1200,-0.8219724,-0.00093221816,0.8216699,-1.8108039,-0.007293864,1.7942586,-0.82008445,0.0048421156,0.8273822,-0.8755758,-1.868407,-0.8719135,-0.0033346752,-0.0019254062,0.001911194,0.8722849,1.8659221,0.87485135,-0.0026278917,-0.0022478423
